,Human,AO,ConfAO,HAI,ConfHAI,ConfHAIPerson
0,0.26388550372689557,-0.27738815494444874,-0.27024749696216166,-0.2766203528017603,-0.27795572812534425,-0.14907179798111356
1,0.26388550372689557,-0.28605945268793664,-0.2689520774651277,-0.23727868712259514,-0.26014450681580764,-0.18100446821566954
2,0.26388550372689557,-0.2832875104396507,-0.3125128986303395,-0.21087583764985773,-0.2805828462147426,-0.1668936615202563
3,0.26388550372689557,-0.30188468153499753,-0.2866548736915184,-0.28331285377783466,-0.2786728359678247,-0.17011806239540533
4,0.26388550372689557,-0.2735007875380011,-0.27158382093523337,-0.2651228573381958,-0.25508667695347637,-0.16846676012417358
5,0.26388550372689557,-0.29306414658706303,-0.3139474316195198,-0.20297092151279758,-0.28110183777114117,-0.12983389553828842
6,0.26388550372689557,-0.2859110346339986,-0.269609763777577,-0.2500951220959205,-0.25837517103881885,-0.19021925948724958
7,0.26388550372689557,-0.3117632368557127,-0.26977727469956286,-0.2280270959186614,-0.2782780440568044,-0.16224074523726367
8,0.26388550372689557,-0.3246207718813185,-0.2673103724041511,-0.2686563791488372,-0.25204359442668484,-0.19470383132395525
9,0.26388550372689557,-0.3038008838983542,-0.26973508440427757,-0.21016057767445986,-0.2713307297905554,-0.1958295746291682
10,0.26388550372689557,-0.29211520735398216,-0.2689325131298187,-0.25490295069804014,-0.2757542772958395,-0.18360000966752954
11,0.26388550372689557,-0.2976866291606559,-0.2712631250061355,-0.25525768040309316,-0.2518946795754413,-0.19620636760187088
12,0.26388550372689557,-0.2588931944243613,-0.28975731468047333,-0.22790616817646572,-0.27381097944520855,-0.20861449287515976
13,0.26388550372689557,-0.28235874918564063,-0.27106472419515365,-0.25932575432443195,-0.2724304173238281,-0.15677032502103944
14,0.26388550372689557,-0.30449709489717725,-0.2789462989200401,-0.2606162100322584,-0.26636271763981895,-0.20712934426587779
15,0.26388550372689557,-0.2903752004949459,-0.290500327241607,-0.2758886303754862,-0.2636724025211766,-0.1827874375989666
16,0.26388550372689557,-0.3096996128658812,-0.29861840706630577,-0.24461404044001123,-0.25936510349644915,-0.148977884376225
17,0.26388550372689557,-0.29191911679700405,-0.29177722407094364,-0.23483512267151568,-0.26110617388421536,-0.16949665311893758
18,0.26388550372689557,-0.2932710522271543,-0.2986074275748521,-0.26458786013087626,-0.26443081842301674,-0.14824001765826542
19,0.26388550372689557,-0.2928432567637529,-0.26913688522792917,-0.2632586054734218,-0.26041482392832804,-0.1657321220122352
