,Human,AO,ConfAO,HAI,ConfHAI,ConfHAIPerson
0,0.2657040535329665,-0.28198709490166973,-0.2715960351332868,-0.2130750487604488,-0.23546694928186518,0.02235222742942741
1,0.2657040535329665,-0.2703030213001327,-0.2535468153342888,-0.20585101071327094,-0.2193482556019345,-0.07905985772503517
2,0.2657040535329665,-0.26866214584780534,-0.2532799822878789,-0.2122607864719948,-0.22402960470109642,-0.04582963767387527
3,0.2657040535329665,-0.25662437468436383,-0.2740392923336388,-0.2049632028754646,-0.2510692430197422,-0.0012757339946541414
4,0.2657040535329665,-0.2528811319705032,-0.2476622656622121,-0.19324520978470078,-0.22720716525439172,-0.0827542247706333
5,0.2657040535329665,-0.26907384267486184,-0.26188883786710365,-0.17939398426922662,-0.2269172924120803,-0.0514559995538392
6,0.2657040535329665,-0.26836483627505237,-0.2543298183781734,-0.21532039486691382,-0.24724744516552233,-0.07926014566659845
7,0.2657040535329665,-0.2636636438969622,-0.26904377315459765,-0.22211376505680344,-0.28007250456277416,-0.023284425094053453
8,0.2657040535329665,-0.25408170048610357,-0.26529100501159536,-0.22314477890175496,-0.22873749579441743,-0.020115158643999275
9,0.2657040535329665,-0.251424170560054,-0.2886642779825876,-0.18791121105921177,-0.2055818900712165,-0.08066936427511066
